"Hash","SizeBytes","FileCount","TotalFootprintBytes"
"E0A76062A308610126191BB288925470A2FB84FBBE5C913B444165D64FD9C4B5","12908","8","103264"
"BDD59094C1C1E60CCC945835249FD79B6F5B081D6A33EBB6E455840A6438AEF3","547","2","1094"
"4D70E15BF4FE8E869E6239EF6A99E6FCF36ABE7D02C39308877C4E185EDCD85D","23","3","69"
"7C9CA06948AC1A3C45E489EB577A20A5845F5BB7323458C540ABE94D0E560821","1049","2","2098"
"307C86E5DCBE1BE743F125CD3FBE3D1685D68EEE8941DAE1235E82F1EFC2E9AA","108867","2","217734"
"53BD1B14E481356BF004C0A45F9022D07FBC56BFE849115E141BA302C8818275","1440","5","7200"
"F83DF581997E960EB73CED00D93ABFD6F35CB220B4CBB6F4CACF3CF3D879229D","1282","2","2564"
"D4CA2F5B01AB57596BCEE58881A75759F00CD978C413CB7D814C174F22D91229","3941","2","7882"
"AA90E94445254F11B5B47CDA3E74972CEF7A586C4C1CBC12F18700CF9710D3B2","1763","2","3526"
"C9A4C0E401B56C296DB217DDEABDF9B85CECE153CDC0E6A334D6A370F90A46D2","82","2","164"
"6CD09AD571A691C76C7176FA21F61E595A605B61A4EBBCBC0446313F1B6868D9","346","2","692"
"ECFD4FF64D46C003A345434ACB1CFD51A6F03A804596CDB73A124E9EB94B0F0F","113","2","226"
"EE997EBAE130B804108811A538CF9C32A7F3C18A91584C90022D4660483542DC","9891","2","19782"
"1EB4DB5F83679B3B6F8683611C93938948AA2D5D5E3988755F9E3A289388B75E","332","2","664"
"AD599BB6874A77C1ABDECADD86B66292588EA38AE69A6B94C5343666DCB43FDC","3316","2","6632"
"13368D6A9BB5347B6BEE46F8FF499AF6ACFDC74C19A6C0911C0FE9ECDD7ACA30","1150","2","2300"
"304E461B1CD4F15D82F6F11CDE33A90E5A6A6F4425EDEDBFF3C95AB3284C5BA2","1211","2","2422"
"7D7A09393A0D46DE4197264EDB0C62098B8CF3FBC61B02C1B9496979F0AA1F8D","899","2","1798"
"596094C66842C7F782198CC19D97792CF6AEADF852D48477AEFBCECDDDD64409","2187","3","6561"
"6FB17C7A6F78874A3DA350F550EAFBDF83B9E118645D477C75078BA1796E9DAA","713","5","3565"
"5DF10798F4B086DA95C24180D7519FA4F68E2057A48E2FF6B76B91D6FFED1E9B","1092","3","3276"
"98FA6E4E25C6BEFD2C8354A20F3EDB76E322AFA3D1053107C61549D45998B6C9","2004","4","8016"
"7B203794688D39B9FFF84FD15C8983DD829097D96B972954B520C7E9C670AD9E","589","2","1178"
"D32B579ED0A7427316BEA260B9EE2675451046BD58C57C679C24F2671860AF76","113","2","226"
"3D6470F4D026D979E10F8DDAF696458780F3638DA315CD2B4B2448F3CCD63BA0","1612","2","3224"
"64AC3BF8746D56FF35F737AC1371224E4C5E9BFE7880FCBE6EEBBF1CFC657EA5","1917","2","3834"
"2F84A1DB99F2F37DC9C1400CFBCE2ED02723ABFF33E96C90786E651C1813357D","424","2","848"
"5E733E7D53830B32FFD9027EFD242AA6243CF32F08D32DB6F360B1203E5F9186","331","4","1324"
"9B0602465F59AEEAA41CC90C62CF1C848EAEBDAB6F1BA7DA05E73D7D28F9F1C0","934","4","3736"
"AEE13975A46A34502AA56681FB3FAB2A3224FBF132AAF4A9B7FD96D1C962F6CA","1820","4","7280"
"85A5FBFC74F409118DF9C3FF12F82F1DEE1BFE9875185850640885041DE1AF9A","17079","5","85395"
"D76E3918AA92304C5D54A050790F021FC7F6D9ECE2B8A1CE71DF00B10AC09BC2","713","5","3565"
"084C53F64CD983C5788D528215EC5E40DDBB17AB47E6EC7015CC915991ED09E1","1189","3","3567"
"003855D33C7FE53115D45D26D2DC683D1B7278E9AAFEFB7470DEA2D206C976BA","529","2","1058"
"27C8104FA3339A0BEDE1BADA6CD3BCF60CFF6CB826613508AA3E77ABDDE1C7C2","78","2","156"
"B68F736A04A8858172BEA9C107B50F8767A57CE2719D5B89FC0310A29252358E","679","2","1358"
"1245418E9938468F07316549CF4EC7688B906156024AB8A5DE7C9D051E098D89","3927","2","7854"
"3BA70061FBF181A690DAD463965D2810D97C97FCBC0D9F47D136679825E7940E","44587","2","89174"
"871C5EC648B67AD1A5791C6C4F95E5BB5DF78ECC9AAE0A3387E2A08E068C6968","5205","5","26025"
"356EE1B68C365C215731F608DA190AE1CFCF3742ABDFF0C9B4EFD85FE271A31F","333","2","666"
"E56B30E3AEA9F9C23DF5E9836909E2A3FD03536A13915F325796AEE34240087D","1417","2","2834"
"791DD78555FC90679E283E180480B4479C6C24D0FC39F9DD74E518CA61F95238","904","4","3616"
"8CE0A95A2A542A59DF1E67E90C8FDBF2D7F77BBCECB2526D6A9238D38BEC098D","1330","2","2660"
"6E77A0ACABDC5786E038D917F6B2B9F92AE46DBE3164381E76CAA2FFFBBD1DC3","160","5","800"
"E38E4FD6442B3F2B61CFA9C7748C5D6CDF9B34D5B81D67359445BD13D0627534","874","2","1748"
"81AB7222722C5E4680C0E4C266D5E9B492893080561E9BDD8DAA5AAC924B5048","256517","2","513034"
"858AF9AA27CFE6EEA1CFD1ABBDA15AD0CCC87E66E88B3AD249FAB8DF6DD13192","1105","4","4420"
"C6646F75128925AB5273EA054B76235A74CDBB208FEC04DBBFB37005660EC152","79","2","158"
"17439EFF29E4D28023E6B50554C81E3F565D304EEB7BB19F56041DED2A0F0D21","2826","2","5652"
"0DB9ECEEF5224DBC34C224C398B50EEF4B99F937C80C81F660928615A248ED4F","72","2","144"
"58A0ABCFB7AB16ECE73A1FEA304B8CB4539F650C4F2726E2D5980C285A96351B","1250","2","2500"
"87C6CDF30EF1EBE2C7201DB1A4E7AFEA47FAD746EF6552778B452B94CC5E040A","24576","2","49152"
"A87C7E29E4190FE4555F926AB40B9A165E1BBD008FDA0E793FBF8E029D7E7736","172","2","344"
"7BF07C1E26CF99DD94BF2E804ADAF0F27DCD22229287DB5EC3E72744748327E2","36250","10","362500"
"9FB255FC9796675509139EB2FCE64DF76DDF49138B8E6E1CDB99094C77E03F8A","3174","2","6348"
"6DF534E4817F11CA2D44B5A812775BF70E7B876CDE7779F25F9F1A889F752A8C","8197","2","16394"
"4AEBB44DA06094F2D56F0B20B4FBDD542CDA00A4C9295E10BBE55203701C9024","3409","11","37499"
"6584E519DFC825258BB8DACFA0D167D85EAAFC5BE1ED9A5127200929C6CF5521","1524","4","6096"
"2C81BAB7F7A60D625164BD840D863548E3F9D4D1AA976B9D2966E5E1E36132A7","2704","2","5408"
"D30CEBBE4EBC47681491939F61A0A83CAA637565D350444D16F697DFDA82CA06","195","8","1560"
"33F3A4D9DF05FA6175CEA98F0A5DAE5CEEE3CE1F9B37FC96DDF335024A1B8315","1165","2","2330"
"6D7435B9DE898C62BB93508F53874C4293AA3DADBB2FF996A1177D3DC0A2AAF8","1482","4","5928"
"126548BA98F98CB7FDD87C945B6A6B6E4BF6091D1FDAE640062EE8BB046289ED","29473","2","58946"
"D56F72C4BB518DE5702B8B6AE3D3C3045C99E0FD48B3D3B54C653693A8378017","2004","2","4008"
"262E6B8DF48800738C04B5706872F8B50F22BCA604DDE82D8046804EFEF753FF","87","2","174"
"9E3F90AA1DC14A1BF2B15E74DE16694C269B0AACDC10AAFA1178305CA1DB5A37","11232","2","22464"
"E5624FE8B736BB3C4CF6A8D833A74EB6CEEA7EFA9272680BB5759FA2A5E8B111","15559","3","46677"
"A30B5B778353F54B34CC8CE17B790BD2E24FE0C4F436A423580F462EB93F21BF","7142","2","14284"
"7FF5CDF453ADE430575447DD911CEF805B7DE0FD3806B1BC6451215DC7B3191C","18874","5","94370"
"3B0808709B6C75B1ED5D1C42EC7C35BA75E9EB83F2796C3BB21D2199146DCCDD","1914","2","3828"
"66E8AF3088C515E61E2AEC2BC94E4B0337B11D45F7BEFA4766FA92BF8C8E11E2","1018","2","2036"
"31B25A9BFE761F32D5908F52F91A436A4FF1C30846231A27EB4063445979325E","3016","10","30160"
